Name,Date Created,Duration,Last edited time,Status,Status 1,Task
Documentation - Course Author,"January 15, 2024 9:44 AM",4h,"January 16, 2024 1:39 PM",Done,Not started,LMS-850
Monthly meeting for Staff,"January 9, 2024 12:24 PM",1h,"January 16, 2024 1:38 PM",Done,Not started,TRAIN-376
Documentation - Course Access Manager,"January 15, 2024 9:32 AM",4h,"January 16, 2024 1:38 PM",Done,Not started,LMS-851
Documentation - My Learning Assistant - External Learners,"January 16, 2024 1:44 PM",4h,"January 16, 2024 1:44 PM",In progress,Not started,LMS-849
Documentation - My Learning Assistant - Internal Learners,"January 16, 2024 1:42 PM",4h,"January 16, 2024 1:44 PM",In progress,Not started,LMS-848
Documentation - Administrator,"January 16, 2024 8:36 AM",4h,"January 16, 2024 8:36 AM",To Do,Not started,LMS-852
TIP-255,"January 16, 2024 8:37 AM",4h,"January 16, 2024 8:38 AM",To Do,Not started,INFOTECH-317
TIP-256,"January 16, 2024 8:37 AM",4h,"January 16, 2024 8:38 AM",To Do,Not started,INFOTECH-318
TIP-257,"January 16, 2024 8:37 AM",4h,"January 16, 2024 8:38 AM",To Do,Not started,INFOTECH-319
